District,Station_name,State,Agency_name,Year,level,lat,long,is_filled
Ujjain,Malikhedi,Madhya Pradesh,Madhya Pradesh GW,2021,8.2,23.35394833,75.90589417,True
Ujjain,Malikhedi,Madhya Pradesh,Madhya Pradesh GW,2022,9.2,23.35394833,75.90589417,True
Ujjain,Nazarpur,Madhya Pradesh,Madhya Pradesh GW,2015,7.699999999999999,23.34582917,75.84134833,False
Ujjain,Nazarpur,Madhya Pradesh,Madhya Pradesh GW,2016,7.25,23.34582917,75.84134833,False
Ujjain,Nazarpur,Madhya Pradesh,Madhya Pradesh GW,2017,7.35,23.34582917,75.84134833,False
Ujjain,Nazarpur,Madhya Pradesh,Madhya Pradesh GW,2018,7.35,23.34582917,75.84134833,False
Ujjain,Nazarpur,Madhya Pradesh,Madhya Pradesh GW,2019,6.1,23.34582917,75.84134833,False
Ujjain,Nazarpur,Madhya Pradesh,Madhya Pradesh GW,2020,5.5,23.34582917,75.84134833,False
Ujjain,Nazarpur,Madhya Pradesh,Madhya Pradesh GW,2021,7.5,23.34582917,75.84134833,True
Ujjain,Nazarpur,Madhya Pradesh,Madhya Pradesh GW,2022,8.5,23.34582917,75.84134833,True
Ujjain,Ruie,Madhya Pradesh,Madhya Pradesh GW,2015,9.75,23.28837583,75.65109417,False
Ujjain,Ruie,Madhya Pradesh,Madhya Pradesh GW,2016,9.4,23.28837583,75.65109417,False
Ujjain,Ruie,Madhya Pradesh,Madhya Pradesh GW,2017,9.1,23.28837583,75.65109417,False
Ujjain,Ruie,Madhya Pradesh,Madhya Pradesh GW,2018,9.85,23.28837583,75.65109417,False
Ujjain,Ruie,Madhya Pradesh,Madhya Pradesh GW,2019,5.766666666666666,23.28837583,75.65109417,False
Ujjain,Ruie,Madhya Pradesh,Madhya Pradesh GW,2020,4.9,23.28837583,75.65109417,False
Ujjain,Ruie,Madhya Pradesh,Madhya Pradesh GW,2021,6.9,23.28837583,75.65109417,True
Ujjain,Ruie,Madhya Pradesh,Madhya Pradesh GW,2022,7.9,23.28837583,75.65109417,True
Ujjain,Tajpur,Madhya Pradesh,Madhya Pradesh GW,2015,20.0,23.23023333,75.90971944,False
Ujjain,Tajpur,Madhya Pradesh,Madhya Pradesh GW,2016,20.0,23.23023333,75.90971944,True
